index,institutionCode,catalogueNumber,filename,similarity
121884,LSUMNS,38595,CU.M.LSU38595.00000005.Master.Transmission,1
121820,LSUMNS,38595,CU.M.LSU38595.00000004.Master.Transmission,1
121756,LSUMNS,38595,CU.M.LSU38595.00000003.Master.Transmission,1
121692,LSUMNS,38595,CU.M.LSU38595.00000002.Master.Transmission,1
121628,LSUMNS,38595,CU.M.LSU38595.00000001.Master.Transmission,1
118364,LSUMNS,38595,CU.M.B.LSU38595.00000005.Master.Transmission,1
118300,LSUMNS,38595,CU.M.B.LSU38595.00000004.Master.Transmission,1
118236,LSUMNS,38595,CU.M.B.LSU38595.00000003.Master.Transmission,1
118172,LSUMNS,38595,CU.M.B.LSU38595.00000002.Master.Transmission,1
118108,LSUMNS,38595,CU.M.B.LSU38595.00000001.Master.Transmission,1
112604,LSUMNS,38595,CU.H.LSU38595.00000005.Master.Transmission,1
112540,LSUMNS,38595,CU.H.LSU38595.00000004.Master.Transmission,1
112476,LSUMNS,38595,CU.H.LSU38595.00000003.Master.Transmission,1
112412,LSUMNS,38595,CU.H.LSU38595.00000002.Master.Transmission,1
112348,LSUMNS,38595,CU.H.LSU38595.00000001.Master.Transmission,1
135132,LSUMNS,38595,CU.S.LSU38595.00000002.Master.Transmission,1
135260,LSUMNS,38595,CU.S.LSU38595.00000004.Master.Transmission,1
192430,LSUMNS,114719,SU.H.LSU114719.00000002.Master.Transmission,1
135324,LSUMNS,38595,CU.S.LSU38595.00000005.Master.Transmission,1
192366,LSUMNS,114719,SU.H.LSU114719.00000001.Master.Transmission,1
192301,LSUMNS,114718,SU.H.LSU114718.00000005.Master.Transmission,1
192237,LSUMNS,114718,SU.H.LSU114718.00000004.Master.Transmission,1
192173,LSUMNS,114718,SU.H.LSU114718.00000003.Master.Transmission,1
192109,LSUMNS,114718,SU.H.LSU114718.00000002.Master.Transmission,1
192045,LSUMNS,114718,SU.H.LSU114718.00000001.Master.Transmission,1
191980,LSUMNS,109406,SU.H.LSU109406.00000005.Master.Transmission,1
191916,LSUMNS,109406,SU.H.LSU109406.00000004.Master.Transmission,1
191852,LSUMNS,109406,SU.H.LSU109406.00000003.Master.Transmission,1
191788,LSUMNS,109406,SU.H.LSU109406.00000002.Master.Transmission,1
191724,LSUMNS,109406,SU.H.LSU109406.00000001.Master.Transmission,1
149404,LSUMNS,38595,CU.U.LSU38595.00000005.Master.Transmission,1
149340,LSUMNS,38595,CU.U.LSU38595.00000004.Master.Transmission,1
149276,LSUMNS,38595,CU.U.LSU38595.00000003.Master.Transmission,1
149212,LSUMNS,38595,CU.U.LSU38595.00000002.Master.Transmission,1
149148,LSUMNS,38595,CU.U.LSU38595.00000001.Master.Transmission,1
142044,LSUMNS,38595,CU.T.LSU38595.00000005.Master.Transmission,1
141980,LSUMNS,38595,CU.T.LSU38595.00000004.Master.Transmission,1
141916,LSUMNS,38595,CU.T.LSU38595.00000003.Master.Transmission,1
141852,LSUMNS,38595,CU.T.LSU38595.00000002.Master.Transmission,1
141788,LSUMNS,38595,CU.T.LSU38595.00000001.Master.Transmission,1
200497,LSUMNS,119388,SU.M.B.LSU119388.00000003.Master.Transmission,1
194219,LSUMNS,87590,SU.H.LSU87590.00000005.Master.Transmission,1
200625,LSUMNS,119388,SU.M.B.LSU119388.00000005.Master.Transmission,1
214575,LSUMNS,114720,SU.R.LSU114720.00000003.Master.Transmission,1
214447,LSUMNS,114720,SU.R.LSU114720.00000001.Master.Transmission,1
214382,LSUMNS,114719,SU.R.LSU114719.00000005.Master.Transmission,1
214318,LSUMNS,114719,SU.R.LSU114719.00000004.Master.Transmission,1
214254,LSUMNS,114719,SU.R.LSU114719.00000003.Master.Transmission,1
214190,LSUMNS,114719,SU.R.LSU114719.00000002.Master.Transmission,1
222637,LSUMNS,114718,SU.S.LSU114718.00000004.Master.Transmission,1
222701,LSUMNS,114718,SU.S.LSU114718.00000005.Master.Transmission,1
222766,LSUMNS,114719,SU.S.LSU114719.00000001.Master.Transmission,1
200688,LSUMNS,161602,SU.M.B.LSU161602.00000001.Master.Transmission,1
214126,LSUMNS,114719,SU.R.LSU114719.00000001.Master.Transmission,1
214061,LSUMNS,114718,SU.R.LSU114718.00000005.Master.Transmission,1
213997,LSUMNS,114718,SU.R.LSU114718.00000004.Master.Transmission,1
222573,LSUMNS,114718,SU.S.LSU114718.00000003.Master.Transmission,1
213869,LSUMNS,114718,SU.R.LSU114718.00000002.Master.Transmission,1
213805,LSUMNS,114718,SU.R.LSU114718.00000001.Master.Transmission,1
213740,LSUMNS,109406,SU.R.LSU109406.00000005.Master.Transmission,1
213676,LSUMNS,109406,SU.R.LSU109406.00000004.Master.Transmission,1
213612,LSUMNS,109406,SU.R.LSU109406.00000003.Master.Transmission,1
213548,LSUMNS,109406,SU.R.LSU109406.00000002.Master.Transmission,1
213484,LSUMNS,109406,SU.R.LSU109406.00000001.Master.Transmission,1
206699,LSUMNS,87590,SU.M.LSU87590.00000005.Master.Transmission,1
214511,LSUMNS,114720,SU.R.LSU114720.00000002.Master.Transmission,1
214639,LSUMNS,114720,SU.R.LSU114720.00000004.Master.Transmission,1
206571,LSUMNS,87590,SU.M.LSU87590.00000003.Master.Transmission,1
214703,LSUMNS,114720,SU.R.LSU114720.00000005.Master.Transmission,1
222445,LSUMNS,114718,SU.S.LSU114718.00000001.Master.Transmission,1
222380,LSUMNS,109406,SU.S.LSU109406.00000005.Master.Transmission,1
222316,LSUMNS,109406,SU.S.LSU109406.00000004.Master.Transmission,1
222252,LSUMNS,109406,SU.S.LSU109406.00000003.Master.Transmission,1
222188,LSUMNS,109406,SU.S.LSU109406.00000002.Master.Transmission,1
