FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
,USNM,,443012,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,"Rio Jurubidá, Pacific Coast; Baudó Mts",5.96667,-77.28333,WGS84,,1951-3-14,,,0,0,0,0,,
,LSUMNS,,38595,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,San Alberto - Magdalena,7.75000,-73.38333,WGS84,,1961-7-2,,,0,0,0,0,,
,FMNH,,50936,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Barbacoas,1.43333,-78.45000,WGS84,,1912-8-21,,,0,0,0,0,,
,AMNH,,117714,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Barbacoas,1.68333,-78.15000,WGS84,,1912-8-22,,,0,0,0,0,,
,LACM,,31131,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,La Guayacana,1.43333,-78.45000,WGS84,,1958-4-21,,,0,0,0,0,,
,LACM,,31132,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,La Guayacana,1.43333,-78.45000,WGS84,,1958-4-18,,,0,0,0,0,,
,LACM,,31133,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,La Guayacana,1.43333,-78.45000,WGS84,,1958-5-16,,,0,0,0,0,,
,LSUMNS,,44782,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Subadult,Colombia,La Guayacana,1.43333,-78.45000,WGS84,,1959-8-17,,,0,0,0,0,,
,FMNH,,250754,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,La Guayacana,1.43333,-78.45000,WGS84,,1958-3-9,,,0,0,0,0,,
,FMNH,,251069,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,La Guayacana,1.43333,-78.45000,WGS84,,1958-5-9,,,0,0,0,0,,
,LACM,,40608,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,San Alberto,7.75000,-73.38333,WGS84,,1961-2-10,,,0,0,0,0,,
,USNM,,410908,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Socorre; Rio Sinú; Rio Verde; 1.5 miles below mouth Rio Verde,7.85000,-76.28333,WGS84,,1949-4-5,,,0,0,0,0,,
,USNM,,410912,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Hcda. Santana; 8 miles N.E. Conchal - Sta. on R.R. to Wilches.,7.45000,-73.13333,WGS84,,1949-10-7,,,0,0,0,0,,
