FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
TE.H.USNM151396.00000005,USNM,,151396,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Guayabal,9.98000,-84.03000,WGS84,,1891-2-22,,Head,0,0,0,0,00000005,
TE.H.USNM188425.00000001,USNM,,188425,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,Divala,8.41667,-82.73333,WGS84,,1900-12-6,,Head,0,0,0,0,00000001,
TE.H.USNM188425.00000002,USNM,,188425,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,Divala,8.41667,-82.73333,WGS84,,1900-12-6,,Head,0,0,0,0,00000002,
TE.H.USNM188425.00000003,USNM,,188425,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,Divala,8.41667,-82.73333,WGS84,,1900-12-6,,Head,0,0,0,0,00000003,
TE.H.USNM188425.00000004,USNM,,188425,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,Divala,8.41667,-82.73333,WGS84,,1900-12-6,,Head,0,0,0,0,00000004,
TE.H.USNM188425.00000005,USNM,,188425,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,Divala,8.41667,-82.73333,WGS84,,1900-12-6,,Head,0,0,0,0,00000005,
TE.H.USNM206542.00000001,USNM,,206542,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Canal Zone, Rio Indio; near Gatun",9.27028,-79.94083,WGS84,,1911-3-4,,Head,0,0,0,0,00000001,
TE.H.USNM206542.00000002,USNM,,206542,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Canal Zone, Rio Indio; near Gatun",9.27028,-79.94083,WGS84,,1911-3-4,,Head,0,0,0,0,00000002,
TE.H.USNM206542.00000003,USNM,,206542,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Canal Zone, Rio Indio; near Gatun",9.27028,-79.94083,WGS84,,1911-3-4,,Head,0,0,0,0,00000003,
TE.H.USNM206542.00000004,USNM,,206542,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Canal Zone, Rio Indio; near Gatun",9.27028,-79.94083,WGS84,,1911-3-4,,Head,0,0,0,0,00000004,
TE.H.USNM206542.00000005,USNM,,206542,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Canal Zone, Rio Indio; near Gatun",9.27028,-79.94083,WGS84,,1911-3-4,,Head,0,0,0,0,00000005,
TE.H.USNM206543.00000001,USNM,,206543,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Canal Zone, Rio Indio; near mouth",9.31556,-79.99722,WGS84,,1911-2-8,,Head,0,0,0,0,00000001,
TE.H.USNM206543.00000002,USNM,,206543,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Canal Zone, Rio Indio; near mouth",9.31556,-79.99722,WGS84,,1911-2-8,,Head,0,0,0,0,00000002,
TE.H.USNM206543.00000003,USNM,,206543,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Canal Zone, Rio Indio; near mouth",9.31556,-79.99722,WGS84,,1911-2-8,,Head,0,0,0,0,00000003,
TE.H.USNM206543.00000004,USNM,,206543,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Canal Zone, Rio Indio; near mouth",9.31556,-79.99722,WGS84,,1911-2-8,,Head,0,0,0,0,00000004,
